id,p1_var_3m,p2_var_3m,p3_var_3m,p1_fix_3m,p2_fix_3m,p3_fix_3m,price_p1_3m,price_p2_3m,price_p3_3m
0002203ffbb812588b632b9e628cc38d,0.119906,0.101673,0.073719,40.728885,24.437330039999996,16.29155496,40.848791,24.539003039999997,16.36527396
0004351ebdd665e6ee664792efc4fd13,0.14394300000000002,0.0,0.0,44.44470995999999,0.0,0.0,44.58865295999999,0.0,0.0
0010bcc39e42b3c2131ed2ce55246e3c,0.20128,0.0,0.0,45.94470995999999,0.0,0.0,46.14598995999999,0.0,0.0
0010ee3855fdea87602a5b7aba8e42de,0.113068,0.095385,0.069409,40.728885,24.437330039999996,16.29155496,40.841953,24.532715039999996,16.36096396
00114d74e963e47177db89bc70108537,0.14544,0.0,0.0,44.26692996,0.0,0.0,44.41236996,0.0,0.0
00126c87cf78d7604278f0a9adeb689e,0.113068,0.095385,0.069409,40.728885,24.437330039999996,16.29155496,40.841953,24.532715039999996,16.36096396
0013f326a839a2f6ad87a1859952d227,0.121647,0.10341300000000002,0.07546,40.728885,24.437330039999996,16.29155496,40.850532,24.540743039999995,16.36701496
00184e957277eeef733a7b563fdabd06,0.145093,0.0,0.0,44.26692996,0.0,0.0,44.41202296,0.0,0.0
001987ed9dbdab4efa274a9c7233e1f4,0.11817499999999999,0.100491,0.074516,40.728885,24.437330039999996,16.29155496,40.84706,24.537821039999997,16.36607096
0019baf3ed1242cd99b3cb592030446f,0.275124,0.0,0.0,59.20692996,0.0,0.0,59.482053959999995,0.0,0.0
001cb880d847a0b63b404a48e50aec17,0.140172,0.0,0.0,44.44470995999999,0.0,0.0,44.58488195999999,0.0,0.0
001cd16732dc7d5bdf46b0d49996c271,0.20014200000000001,0.0,0.0,46.44471036000001,0.0,0.0,46.64485236000001,0.0,0.0
001dc71143f45cb58aaccc2e94823c5a,0.145047,0.0,0.0,44.44470995999999,0.0,0.0,44.58975695999999,0.0,0.0
0024bc8ffe90ec2d5f5be3b5cd7bf2cf,0.1476,0.0,0.0,44.44470995999999,0.0,0.0,44.59230995999999,0.0,0.0
